match_id,date,home_team_id,away_team_id,league_id,league_name,home_team_name,away_team_name,CTMCL,avg_goals_market,team_a_xg_prematch,team_b_xg_prematch,pre_match_home_ppg,pre_match_away_ppg,home_xg_avg,away_xg_avg,home_xg_momentum,away_xg_momentum,home_goals_conceded_avg,away_goals_conceded_avg,o25_potential,o35_potential,home_shots_accuracy_avg,away_shots_accuracy_avg,home_dangerous_attacks_avg,away_dangerous_attacks_avg,h2h_total_goals_avg,home_form_points,away_form_points,home_elo,away_elo,elo_diff,league_avg_goals,odds_ft_1_prob,odds_ft_2_prob,btts_potential,o05_potential,o15_potential,o45_potential,odds_ft_over25,odds_ft_under25,odds_ft_1,odds_ft_x,odds_ft_2
8391030,2026-05-18,677447,6490,16504,0,Nashville SC,Los Angeles FC,2.588235294117647,2.41,1.78,1.52,2,0.25,1.44,1.52,0,0,2.0,2.75,75,59,0.4782608695652174,0.35294117647058826,45.0,55.0,0,10,1.25,1500,1500,0,3.26,0.405207756232687,0.336398891966759,65,92,84,30,1.7,2.12,2.2,3.45,2.65
8530653,2026-05-18,1422,1417,15234,0,Pumas UNAM,Pachuca,2.571428571428571,2.2199999999999998,1.31,1.48,2,1.5,1.02,1.28,0,0,1.5,0.5,50,34,0.2857142857142857,0.3333333333333333,20.5,32.0,0,10,7.5,1500,1500,0,2.91,0.3808536822333053,0.3684176436297687,59,96,78,16,1.75,2.05,2.37,3.6,2.45
8223704,2026-05-18,59,145,15050,0,Arsenal,Burnley,2.769230769230769,2.25,1.85,0.98,3,0.0,1.63,0.87,0,0,0.0,3.5,67,36,0.35714285714285715,0.46153846153846156,54.33,33.0,0,15,0.0,1500,1500,0,2.77,0.8532934131736527,0.0471556886227544,61,97,92,28,1.3,3.2,1.05,9.0,19.0
8223845,2026-05-19,148,93,15050,0,AFC Bournemouth,Manchester City,2.6944444444444446,2.31,1.64,1.72,2,2.0,1.92,1.75,0,0,1.0,1.5,53,31,0.36363636363636365,0.26666666666666666,63.5,72.5,0,10,10.0,1500,1500,0,2.77,0.2374777700211955,0.534656655410848,56,89,72,14,1.44,2.55,4.03,4.2,1.79
8223846,2026-05-19,152,92,15050,0,Chelsea,Tottenham Hotspur,2.609756097560976,2.28,1.74,1.22,1,2.0,1.31,1.33,0,0,1.33,0.67,59,28,0.2225,0.43767572633552015,49.67,44.67,0,5,10.0,1500,1500,0,2.77,0.4692760171785634,0.2799658057031202,53,94,81,9,1.64,2.35,2.1,3.93,3.52
